policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,0.5,0.2,1,approach,False,approach_box,True,1.6503299999998644,0.1685132533311844,0.16782064735889435,0.06588857620954514,0.05933852866292,0.07403546571731567,0.20866358280181885,,,0.1789555847644806
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_before_pick_box,True,1.0002000000000915,0.07540915161371231,0.07406088709831238,0.06287934631109238,0.05849411338567734,0.0803932249546051,0.24314382672309875,0.031173810362815857,0.0,0.07040239125490189
model_101000.onnx,0.5,0.2,1,manipulation,False,crouch_to_pick_box,True,1.883710000000347,0.14531053602695465,0.14509911835193634,0.04516943544149399,0.08371593058109283,0.11458073556423187,0.3329017460346222,0.03324527905086936,6.913544006841398e-05,0.15010680258274078
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_after_pick_box,True,2.3504699999999623,0.12331236153841019,0.12184799462556839,0.059291575103998184,0.09079689532518387,0.11249703913927078,0.32415756583213806,0.020187675251578815,0.7468791412526039,0.13683263957500458
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_before_place_box,True,3.6673999999987217,0.09615911543369293,0.09485109895467758,0.04982654005289078,0.08367571979761124,0.10726737976074219,0.33935198187828064,0.05964388602252155,0.6628089337995605,0.10208164155483246
model_101000.onnx,0.5,0.2,1,manipulation,False,crouch_to_place_box,True,1.75034999999939,0.10938635468482971,0.10870053619146347,0.06438421458005905,0.09222166985273361,0.1289280503988266,0.40629318356513977,0.2739717047628939,0.11372622060060329,0.10659538209438324
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_after_place_box,True,1.583649999999448,0.025168657302856445,0.019624264910817146,0.05052250251173973,0.056138720363378525,0.07776664197444916,0.24873758852481842,0.2737281685545323,0.11372622060060329,0.03737342730164528
model_101000.onnx,0.7,0.4,2,approach,False,approach_box,True,3.4840300000001094,0.12563858926296234,0.12398577481508255,0.06736189872026443,0.05289701744914055,0.06963932514190674,0.1626313030719757,,,0.1358688920736313
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.06448781490325928,0.06288684904575348,0.04474227875471115,0.05720878764986992,0.0780453160405159,0.23864266276359558,0.031173810362815857,0.0,0.059769000858068466
model_101000.onnx,0.7,0.4,2,manipulation,False,crouch_to_pick_box,True,1.7836900000001865,0.13597416877746582,0.13553163409233093,0.03664851561188698,0.08273524791002274,0.11727817356586456,0.34380289912223816,0.033245176824500636,2.975924179581784e-05,0.14284290373325348
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_after_pick_box,True,2.3337999999991865,0.1108044758439064,0.10924695432186127,0.062427397817373276,0.09051737934350967,0.11194941401481628,0.32190024852752686,0.014045754165799496,0.765168174612204,0.12677215039730072
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_before_place_box,True,4.634259999998385,0.02522123046219349,0.022082138806581497,0.03009786084294319,0.07630547881126404,0.09661740064620972,0.28624844551086426,0.10945425420587046,0.6717609781097684,0.03207400068640709
model_101000.onnx,0.7,0.4,2,manipulation,False,crouch_to_place_box,True,1.7503500000004397,0.05438854917883873,0.053680628538131714,0.06068405508995056,0.08896902203559875,0.12112068384885788,0.3721471130847931,0.26689034845913784,0.11622409490591984,0.052424024790525436
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_after_place_box,True,1.6836700000012073,0.02668880857527256,0.021476494148373604,0.05760445445775986,0.056348320096731186,0.07811683416366577,0.23607796430587769,0.26664034456580676,0.11622409490591984,0.038506899029016495
model_101000.onnx,0.8999999999999999,0.6,3,approach,False,approach_box,True,2.8338999999999896,0.16005969047546387,0.15881486237049103,0.055138345807790756,0.05482873693108559,0.07423696666955948,0.21744590997695923,,,0.1779504269361496
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.08051588386297226,0.07927583903074265,0.04279268532991409,0.05748649314045906,0.0786358192563057,0.24273887276649475,0.031173810362815857,0.0,0.07644116878509521
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_pick_box,True,1.850370000000341,0.15128372609615326,0.15087266266345978,0.03989901766180992,0.08275217562913895,0.11641047894954681,0.33815261721611023,0.03324511243109753,2.4952215777719295e-05,0.15858244895935059
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_pick_box,True,2.2837899999993727,0.12509021162986755,0.12353884428739548,0.06695569306612015,0.08895915746688843,0.11096640676259995,0.28400567173957825,0.03791350686662902,0.7654811512089683,0.14056023955345154
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_place_box,False,30.00599999999809,0.05002908036112785,0.04286585748195648,0.10200097411870956,0.12481437623500824,0.15859954059123993,0.36942970752716064,0.8457941780872654,2.9467708993229675,0.07249860465526581
model_101000.onnx,1.1,0.8,4,approach,False,approach_box,True,3.2506500000000664,0.11246547102928162,0.11153590679168701,0.061105821281671524,0.05421154573559761,0.07476376742124557,0.23204201459884644,,,0.12730254232883453
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.02724899724125862,0.02314011938869953,0.05927639454603195,0.06105626001954079,0.07977700233459473,0.2361111342906952,0.031173810362815857,0.0,0.029252249747514725
model_101000.onnx,1.1,0.8,4,manipulation,False,crouch_to_pick_box,True,1.7336800000003194,0.10437766462564468,0.10437259823083878,0.04620305076241493,0.08515644073486328,0.11745532602071762,0.3495318591594696,0.03324558373839165,1.2252959460118999e-05,0.10472889244556427
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_after_pick_box,True,2.283789999999213,0.09396493434906006,0.09257159382104874,0.05143275856971741,0.09034975618124008,0.111575648188591,0.3157717287540436,0.0316040943478698,0.7521182810519771,0.10712069272994995
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_before_place_box,True,4.8843099999982975,0.029326453804969788,0.02765321359038353,0.03090691938996315,0.06996729969978333,0.09232213348150253,0.27467137575149536,0.10529624726066537,0.6453487297589273,0.036794137209653854
model_101000.onnx,1.1,0.8,4,manipulation,False,crouch_to_place_box,True,1.700340000000315,0.048434868454933167,0.04810718446969986,0.05861129239201546,0.08782966434955597,0.11910784989595413,0.35037514567375183,0.22050931232785173,0.08802712269334326,0.04570688679814339
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_after_place_box,True,1.6169900000011594,0.02529630810022354,0.019897107034921646,0.051566168665885925,0.05670860782265663,0.07757294178009033,0.2340589463710785,0.22020665764875094,0.08802712269334326,0.03698955848813057
model_101000.onnx,1.2999999999999998,1.0,5,approach,False,approach_box,True,3.334000000000082,0.12930317223072052,0.12831342220306396,0.0669013187289238,0.056449342519044876,0.07380853593349457,0.18200863897800446,,,0.1372881829738617
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.055239882320165634,0.05325015261769295,0.05396934226155281,0.058855850249528885,0.0794033333659172,0.23450817167758942,0.031173810362815857,0.0,0.05183209106326103
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,crouch_to_pick_box,True,1.833700000000249,0.12452245503664017,0.12439373135566711,0.04480861872434616,0.08140245079994202,0.11358156055212021,0.339138001203537,0.03324483795479804,3.1230814746889784e-05,0.12762653827667236
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_after_pick_box,True,2.283789999999204,0.1044362410902977,0.102877676486969,0.06396181881427765,0.0913684070110321,0.11253102868795395,0.3175789415836334,0.013152320238386622,0.7662282502009835,0.11777656525373459
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_before_place_box,True,6.60131999999882,0.07371052354574203,0.07276389747858047,0.03528701886534691,0.06855732947587967,0.0908050686120987,0.23726588487625122,0.1708132304880664,0.6150903178679434,0.06526554375886917
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,crouch_to_place_box,True,1.6836700000012073,0.056648194789886475,0.056579895317554474,0.07803984731435776,0.08799837529659271,0.1166592389345169,0.35350745916366577,0.2395012422543815,0.04001653803017303,0.05215948075056076
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_after_place_box,True,1.7003400000012192,0.024214938282966614,0.018548239022493362,0.04930838197469711,0.05703607574105263,0.0783143863081932,0.2321210503578186,0.23922261659576433,0.04001653803017303,0.03600677102804184
model_101000.onnx,1.5,1.2,6,approach,False,approach_box,True,3.2673200000000695,0.03951980173587799,0.03237621858716011,0.046959634870290756,0.07097786664962769,0.08890795707702637,0.27716702222824097,,,0.05105968937277794
model_101000.onnx,1.5,1.2,6,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.02342153526842594,0.020897546783089638,0.01183134876191616,0.07323882728815079,0.09031813591718674,0.21170726418495178,0.031173810362815857,0.0,0.03724607825279236
model_101000.onnx,1.5,1.2,6,manipulation,False,crouch_to_pick_box,True,1.7170100000003163,0.13946333527565002,0.1390322595834732,0.056668296456336975,0.0863024890422821,0.1122027039527893,0.2724584639072418,0.03324441611766815,0.0,0.13958978652954102
model_101000.onnx,1.5,1.2,6,manipulation,False,stand_after_pick_box,True,2.4338199999991605,0.0970703661441803,0.09571095556020737,0.043344855308532715,0.08675919473171234,0.11058440059423447,0.35818320512771606,0.012263344096723383,0.7437209417074302,0.10701010376214981
