policy,trial,approach_distance_m,distance_m,approach_success,recovery_reset,pick_success,place_goal_success,pick_place_success,end_to_end_success
model_101000.onnx,1,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,2,0.7,0.4,True,False,True,True,True,True
model_101000.onnx,3,0.8999999999999999,0.6,True,False,True,False,False,False
model_101000.onnx,4,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,5,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,6,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,7,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,8,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,9,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,10,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,11,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,12,0.7,0.4,True,False,True,True,True,True
model_101000.onnx,13,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,14,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,15,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,16,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,17,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,18,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,19,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,20,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,21,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,22,0.7,0.4,True,False,False,False,False,False
model_101000.onnx,23,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,24,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,25,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,26,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,27,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,28,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,29,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,30,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,31,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,32,0.7,0.4,True,False,False,False,False,False
model_101000.onnx,33,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,34,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,35,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,36,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,37,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,38,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,39,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,40,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,41,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,42,0.7,0.4,False,True,True,True,True,False
model_101000.onnx,43,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,44,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,45,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,46,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,47,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,48,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,49,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,50,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,51,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,52,0.7,0.4,True,False,True,True,True,True
model_101000.onnx,53,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,54,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,55,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,56,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,57,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,58,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,59,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,60,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,61,0.5,0.2,True,False,True,False,False,False
model_101000.onnx,62,0.7,0.4,True,False,False,False,False,False
model_101000.onnx,63,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,64,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,65,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,66,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,67,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,68,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,69,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,70,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,71,0.5,0.2,True,False,False,False,False,False
model_101000.onnx,72,0.7,0.4,True,False,False,False,False,False
model_101000.onnx,73,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,74,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,75,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,76,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,77,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,78,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,79,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,80,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,81,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,82,0.7,0.4,True,False,True,True,True,True
model_101000.onnx,83,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,84,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,85,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,86,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,87,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,88,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,89,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,90,2.3,2.0,True,False,True,True,True,True
model_101000.onnx,91,0.5,0.2,True,False,True,True,True,True
model_101000.onnx,92,0.7,0.4,True,False,True,True,True,True
model_101000.onnx,93,0.8999999999999999,0.6,True,False,True,True,True,True
model_101000.onnx,94,1.1,0.8,True,False,True,True,True,True
model_101000.onnx,95,1.2999999999999998,1.0,True,False,True,True,True,True
model_101000.onnx,96,1.5,1.2,True,False,True,True,True,True
model_101000.onnx,97,1.7000000000000002,1.4,True,False,True,True,True,True
model_101000.onnx,98,1.9,1.6,True,False,True,True,True,True
model_101000.onnx,99,2.0999999999999996,1.8,True,False,True,True,True,True
model_101000.onnx,100,2.3,2.0,True,False,True,True,True,True
