policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_29000_uniform.onnx,0.5,0.2,1,approach,False,approach_box,True,1.5669799999998713,0.1504572182893753,0.14973647892475128,0.028255844488739967,0.07361394166946411,0.0874347984790802,0.16310952603816986,,,0.16130661964416504
model_29000_uniform.onnx,0.5,0.2,1,manipulation,False,stand_before_pick_box,True,1.0168700000000723,0.11040652543306351,0.1089547798037529,0.07899530977010727,0.06505538523197174,0.09372152388095856,0.2515324056148529,0.031173810362815857,0.0,0.10295839607715607
model_29000_uniform.onnx,0.5,0.2,1,manipulation,False,crouch_to_pick_box,False,30.00600000000565,0.2671562433242798,0.2671460509300232,0.013583426363766193,0.11510081589221954,0.14312446117401123,0.3288342356681824,0.2980677956684097,1.5708022708014453,0.27283766865730286
model_29000_uniform.onnx,0.7,0.4,2,approach,False,approach_box,True,3.3173300000000787,0.20208562910556793,0.20143260061740875,0.03602728247642517,0.08368143439292908,0.10134401172399521,0.21676725149154663,,,0.2077321708202362
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.15188436210155487,0.15091855823993683,0.07340466231107712,0.0682976096868515,0.09588976949453354,0.26447686553001404,0.031173810362815857,0.0,0.14593124389648438
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,crouch_to_pick_box,True,4.200839999999433,0.1746705323457718,0.17465348541736603,0.026750370860099792,0.09589854627847672,0.12906932830810547,0.3499935269355774,0.03347666654597886,0.0013476675081619497,0.1708676666021347
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,stand_after_pick_box,True,2.100419999999268,0.16794069111347198,0.16745463013648987,0.0539439395070076,0.07404252886772156,0.0984029471874237,0.35069459676742554,0.08033167476095615,0.7444816380094575,0.18261151015758514
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,stand_before_place_box,True,3.267319999998861,0.21873873472213745,0.21861009299755096,0.14686459302902222,0.07773437350988388,0.09753986448049545,0.304117888212204,0.1360639134571983,0.7998861552903582,0.23689068853855133
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,crouch_to_place_box,True,11.585650000008185,0.2267458587884903,0.22571979463100433,0.08373522758483887,0.11980069428682327,0.15100957453250885,0.36402738094329834,0.08260457354718818,0.07932010133156905,0.21541334688663483
model_29000_uniform.onnx,0.7,0.4,2,manipulation,False,stand_after_place_box,False,2.7005400000019364,0.976911187171936,0.8314548134803772,0.9448872208595276,0.2685945928096771,0.33666202425956726,0.7077232599258423,0.08179321989287959,0.07932010133156905,0.780502200126648
