policy,trial,approach_distance_m,distance_m,approach_success,recovery_reset,pick_success,place_goal_success,pick_place_success,end_to_end_success
model_29000_uniform.onnx,1,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,2,0.7,0.4,True,False,True,True,False,False
model_29000_uniform.onnx,3,0.8999999999999999,0.6,True,False,False,False,False,False
model_29000_uniform.onnx,4,1.1,0.8,True,False,True,True,False,False
model_29000_uniform.onnx,5,1.2999999999999998,1.0,True,False,False,False,False,False
model_29000_uniform.onnx,6,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,7,1.7000000000000002,1.4,True,False,False,False,False,False
model_29000_uniform.onnx,8,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,9,2.0999999999999996,1.8,True,False,True,True,False,False
model_29000_uniform.onnx,10,2.3,2.0,True,False,True,True,False,False
model_29000_uniform.onnx,11,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,12,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,13,0.8999999999999999,0.6,True,False,False,False,False,False
model_29000_uniform.onnx,14,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,15,1.2999999999999998,1.0,True,False,False,False,False,False
model_29000_uniform.onnx,16,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,17,1.7000000000000002,1.4,True,False,True,True,False,False
model_29000_uniform.onnx,18,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,19,2.0999999999999996,1.8,True,False,True,True,True,True
model_29000_uniform.onnx,20,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,21,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,22,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,23,0.8999999999999999,0.6,True,False,True,True,True,True
model_29000_uniform.onnx,24,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,25,1.2999999999999998,1.0,True,False,True,True,False,False
model_29000_uniform.onnx,26,1.5,1.2,True,False,True,True,False,False
model_29000_uniform.onnx,27,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,28,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,29,2.0999999999999996,1.8,True,False,True,True,False,False
model_29000_uniform.onnx,30,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,31,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,32,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,33,0.8999999999999999,0.6,False,True,True,True,True,False
model_29000_uniform.onnx,34,1.1,0.8,True,False,True,True,False,False
model_29000_uniform.onnx,35,1.2999999999999998,1.0,True,False,True,True,True,True
model_29000_uniform.onnx,36,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,37,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,38,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,39,2.0999999999999996,1.8,True,False,True,True,False,False
model_29000_uniform.onnx,40,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,41,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,42,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,43,0.8999999999999999,0.6,True,False,True,True,True,True
model_29000_uniform.onnx,44,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,45,1.2999999999999998,1.0,True,False,True,True,True,True
model_29000_uniform.onnx,46,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,47,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,48,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,49,2.0999999999999996,1.8,True,False,True,True,True,True
model_29000_uniform.onnx,50,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,51,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,52,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,53,0.8999999999999999,0.6,True,False,False,False,False,False
model_29000_uniform.onnx,54,1.1,0.8,True,False,True,True,False,False
model_29000_uniform.onnx,55,1.2999999999999998,1.0,True,False,False,False,False,False
model_29000_uniform.onnx,56,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,57,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,58,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,59,2.0999999999999996,1.8,True,False,True,True,True,True
model_29000_uniform.onnx,60,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,61,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,62,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,63,0.8999999999999999,0.6,True,False,False,False,False,False
model_29000_uniform.onnx,64,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,65,1.2999999999999998,1.0,True,False,True,True,False,False
model_29000_uniform.onnx,66,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,67,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,68,1.9,1.6,True,False,False,False,False,False
model_29000_uniform.onnx,69,2.0999999999999996,1.8,True,False,True,True,True,True
model_29000_uniform.onnx,70,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,71,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,72,0.7,0.4,True,False,True,True,True,True
model_29000_uniform.onnx,73,0.8999999999999999,0.6,True,False,True,True,True,True
model_29000_uniform.onnx,74,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,75,1.2999999999999998,1.0,True,False,True,True,True,True
model_29000_uniform.onnx,76,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,77,1.7000000000000002,1.4,True,False,True,True,True,True
model_29000_uniform.onnx,78,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,79,2.0999999999999996,1.8,True,False,True,True,False,False
model_29000_uniform.onnx,80,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,81,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,82,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,83,0.8999999999999999,0.6,False,True,True,True,True,False
model_29000_uniform.onnx,84,1.1,0.8,True,False,True,True,True,True
model_29000_uniform.onnx,85,1.2999999999999998,1.0,True,False,True,True,False,False
model_29000_uniform.onnx,86,1.5,1.2,True,False,True,True,True,True
model_29000_uniform.onnx,87,1.7000000000000002,1.4,True,False,True,True,False,False
model_29000_uniform.onnx,88,1.9,1.6,True,False,True,True,True,True
model_29000_uniform.onnx,89,2.0999999999999996,1.8,True,False,True,True,True,True
model_29000_uniform.onnx,90,2.3,2.0,True,False,False,False,False,False
model_29000_uniform.onnx,91,0.5,0.2,True,False,False,False,False,False
model_29000_uniform.onnx,92,0.7,0.4,True,False,False,False,False,False
model_29000_uniform.onnx,93,0.8999999999999999,0.6,False,True,True,True,True,False
model_29000_uniform.onnx,94,1.1,0.8,True,False,False,False,False,False
model_29000_uniform.onnx,95,1.2999999999999998,1.0,True,False,True,True,False,False
