policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_96000_bucket.onnx,0.5,0.2,1,approach,False,approach_box,True,3.634060000000137,0.03479593247175217,0.029912391677498817,0.10044847428798676,0.07132795453071594,0.10310624539852142,0.2592068910598755,,,0.041708651930093765
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,stand_before_pick_box,True,1.166900000000215,0.03308011218905449,0.030875466763973236,0.056863415986299515,0.0507536381483078,0.06340029835700989,0.16075767576694489,0.038673803210258484,0.0,0.04453521966934204
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,crouch_to_pick_box,True,1.9503899999999597,0.07570505887269974,0.07565031945705414,0.13095729053020477,0.0921790674328804,0.12060175091028214,0.27261805534362793,0.040744422048416544,5.208248949126458e-06,0.07220668345689774
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,stand_after_pick_box,True,1.9503899999993202,0.037303343415260315,0.035700391978025436,0.12287968397140503,0.09219208359718323,0.12418258190155029,0.3842787444591522,0.11677582784187843,1.3358308308912168,0.06780581921339035
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,stand_before_place_box,True,1.850369999999355,0.08939497172832489,0.08832210302352905,0.13425227999687195,0.09604890644550323,0.1267796754837036,0.40661585330963135,0.1566087748063803,1.3552240241361635,0.11731719225645065
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,crouch_to_place_box,True,2.0670799999992795,0.033572494983673096,0.03291492536664009,0.08709967881441116,0.09422095119953156,0.11358942836523056,0.22988861799240112,0.0948187265717929,0.20719105750958333,0.04791538789868355
model_96000_bucket.onnx,0.5,0.2,1,manipulation,False,stand_after_place_box,True,1.6836699999997347,0.06136024370789528,0.06055007129907608,0.060443926602602005,0.06388349086046219,0.07787742465734482,0.1581966131925583,0.12752815954940372,0.07557563460632956,0.07221238315105438
model_96000_bucket.onnx,0.7,0.4,2,approach,False,approach_box,True,3.100620000000039,0.10109829902648926,0.09897133708000183,0.10954504460096359,0.07144554704427719,0.10790091007947922,0.3080219328403473,,,0.11753249168395996
model_96000_bucket.onnx,0.7,0.4,2,manipulation,False,stand_before_pick_box,True,1.0835500000001996,0.06192314624786377,0.0613759346306324,0.04993138089776039,0.05633855238556862,0.07372710108757019,0.18833374977111816,0.038673803210258484,0.0,0.05971653014421463
model_96000_bucket.onnx,0.7,0.4,2,manipulation,False,crouch_to_pick_box,True,2.017070000000265,0.12326247990131378,0.1228790208697319,0.13079242408275604,0.0958573967218399,0.11923449486494064,0.2532978951931,0.040744998151269855,1.6865613207745146e-05,0.1276552826166153
model_96000_bucket.onnx,0.7,0.4,2,manipulation,False,stand_after_pick_box,False,30.005999999999972,0.10705843567848206,0.10364646464586258,0.1423211246728897,0.15705789625644684,0.1923028826713562,0.5100530385971069,1.2214381508259264,1.9656875657807422,0.13030844926834106
model_96000_bucket.onnx,0.8999999999999999,0.6,3,approach,False,approach_box,True,3.4340200000001,0.11359033733606339,0.11145524680614471,0.11113359034061432,0.07870860397815704,0.11634461581707001,0.31622135639190674,,,0.12069732695817947
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_pick_box,True,1.2502500000002303,0.06447219103574753,0.06377289444208145,0.070722796022892,0.0538206472992897,0.07005605846643448,0.17937378585338593,0.038673803210258484,0.0,0.07106077671051025
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_pick_box,True,3.300659999999551,0.09906676411628723,0.09381923824548721,0.24616725742816925,0.13305629789829254,0.15971113741397858,0.3362899124622345,0.20105908160154587,1.1996011577793986,0.11626432836055756
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_pick_box,True,1.9170499999993318,0.24732771515846252,0.24692630767822266,0.07075832039117813,0.07515180855989456,0.09758239984512329,0.2759900987148285,0.2176223585487721,1.7255753795479363,0.2606731951236725
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_place_box,True,2.7005399999990587,0.0733395367860794,0.07237078249454498,0.09009315073490143,0.07715688645839691,0.10252665728330612,0.2542094588279724,0.08610535523799076,1.7862445263621503,0.08863101154565811
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_place_box,True,2.4504900000002667,0.040427111089229584,0.04001765698194504,0.11232683807611465,0.09428964555263519,0.12084405869245529,0.25198352336883545,0.19891861796717125,1.5708425178396794,0.044637542217969894
model_96000_bucket.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_place_box,True,1.6670000000011953,0.0557711124420166,0.05503488704562187,0.06788774579763412,0.06923475116491318,0.08300174027681351,0.15318362414836884,0.1983222165386023,1.5708425178396794,0.06636558473110199
model_96000_bucket.onnx,1.1,0.8,4,approach,False,approach_box,True,6.167900000000515,0.08660291880369186,0.08423680812120438,0.11739298701286316,0.0834265649318695,0.11907391250133514,0.3647001087665558,,,0.0918579176068306
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,stand_before_pick_box,True,1.0835499999996223,0.07109283655881882,0.07019572705030441,0.05534933879971504,0.05295049771666527,0.06993842869997025,0.19970786571502686,0.038673803210258484,0.0,0.08113203197717667
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,crouch_to_pick_box,True,2.383809999999169,0.08615712076425552,0.08113313466310501,0.2668426036834717,0.13621291518211365,0.16303928196430206,0.3199458718299866,0.21984434663795363,1.2951428036072898,0.10745494067668915
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,stand_after_pick_box,True,1.9170499999993318,0.24830251932144165,0.24782031774520874,0.06562808901071548,0.07673391699790955,0.09723091125488281,0.24906428158283234,0.22338753883080167,1.7349323066179367,0.2590818703174591
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,stand_before_place_box,True,2.8839099999994584,0.06799827516078949,0.06704435497522354,0.08112972229719162,0.07218985259532928,0.09654463082551956,0.23105420172214508,0.10954929043189963,1.7561742253331507,0.08077841997146606
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,crouch_to_place_box,True,2.467160000001769,0.0732385665178299,0.07319942861795425,0.13896521925926208,0.09619422256946564,0.12006307393312454,0.26400279998779297,0.17300966724144157,1.570820017622356,0.06672171503305435
model_96000_bucket.onnx,1.1,0.8,4,manipulation,False,stand_after_place_box,True,1.6836700000012073,0.05854054167866707,0.05771276354789734,0.06783502548933029,0.06767816841602325,0.08102687448263168,0.14986279606819153,0.17232361984884478,1.570820017622356,0.07076895982027054
model_96000_bucket.onnx,1.2999999999999998,1.0,5,approach,False,approach_box,True,11.485629999998661,0.08382998406887054,0.08180675655603409,0.12101192027330399,0.07468514144420624,0.1082000881433487,0.2734944224357605,,,0.06936842948198318
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_before_pick_box,True,1.2835899999995526,0.0796118974685669,0.07879254221916199,0.06517165154218674,0.05276932567358017,0.06435033679008484,0.15510834753513336,0.038673803210258484,2.9802322387695312e-08,0.09206656366586685
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,crouch_to_pick_box,True,1.9503900000000858,0.07454850524663925,0.07450991868972778,0.13180503249168396,0.09866122901439667,0.12699857354164124,0.322233647108078,0.040744548985694296,3.5164353625525175e-05,0.06673336774110794
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_after_pick_box,True,1.9337200000013866,0.0460190549492836,0.04516216367483139,0.131374329328537,0.09191218763589859,0.11884420365095139,0.34923797845840454,0.09558155039605805,1.2600590052454084,0.06937118619680405
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_before_place_box,True,3.0006000000021515,0.04349031299352646,0.041146207600831985,0.11525102704763412,0.094654880464077,0.1215512603521347,0.37326425313949585,0.10887297743434406,1.3450877159392998,0.07606907933950424
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,crouch_to_place_box,True,2.067080000001482,0.03080272674560547,0.029346898198127747,0.06976399570703506,0.09656792879104614,0.11614618450403214,0.24851444363594055,0.09517664485215743,0.20020596893622603,0.04664153978228569
model_96000_bucket.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_after_place_box,True,1.6670000000011953,0.06789340823888779,0.06719723343849182,0.056506600230932236,0.06723898649215698,0.07882644236087799,0.1650400012731552,0.1296819620315303,0.09327531776736976,0.07862300425767899
model_96000_bucket.onnx,1.5,1.2,6,approach,False,approach_box,True,12.852569999998185,0.17552253603935242,0.17406333982944489,0.09921802580356598,0.08562932163476944,0.12460633367300034,0.33498290181159973,,,0.17776061594486237
model_96000_bucket.onnx,1.5,1.2,6,manipulation,False,stand_before_pick_box,True,1.6669999999999714,0.1482098400592804,0.14798080921173096,0.08890008181333542,0.06176196411252022,0.07443300634622574,0.15964943170547485,0.038673803210258484,0.0,0.15954460203647614
model_96000_bucket.onnx,1.5,1.2,6,manipulation,False,crouch_to_pick_box,True,5.201040000003729,0.17938466370105743,0.17741037905216217,0.2019067108631134,0.1446949690580368,0.17260876297950745,0.38459235429763794,0.24328764173459305,1.559440723963927,0.21660387516021729
model_96000_bucket.onnx,1.5,1.2,6,manipulation,False,stand_after_pick_box,False,30.005999999979473,0.2488563358783722,0.24781738221645355,0.08741772919893265,0.11383858323097229,0.15381839871406555,0.428882896900177,0.8085007737500348,1.5805496533655352,0.25300994515419006
model_96000_bucket.onnx,1.7000000000000002,1.4,7,approach,False,approach_box,True,5.851170000000545,0.03945302218198776,0.033479224890470505,0.10961207002401352,0.08309278637170792,0.11660728603601456,0.3207910656929016,,,0.04274838790297508
