policy,approach_distance_m,distance_m,trial,segment,recovery_reset,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_101000.onnx,0.5,0.2,1,approach,False,approach_box,True,1.6503299999998644,0.16907288134098053,0.16836023330688477,0.06776755861231971,0.05973684415221214,0.07414697855710983,0.205379456281662,,,0.17952772974967957
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_before_pick_box,True,1.0002000000000915,0.07600714266300201,0.07465599477291107,0.05583980957828973,0.058116935193538666,0.07976418733596802,0.243388369679451,0.038673803210258484,0.0,0.07095559686422348
model_101000.onnx,0.5,0.2,1,manipulation,False,crouch_to_pick_box,True,2.317130000000427,0.14608997106552124,0.14592760801315308,0.039873480623698714,0.08391986042261124,0.11461617052555084,0.34114870429039,0.040745050206730096,2.746023245560154e-05,0.1489175707101822
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_after_pick_box,True,2.2837899999997546,0.12298517674207687,0.1216248944401741,0.06453778692018888,0.09269073605537415,0.11521173268556595,0.3152477741241455,0.019888737526543576,0.7022543153224459,0.13958413898944855
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_before_place_box,True,4.284189999998507,0.039440788328647614,0.03854132071137428,0.04613624825932773,0.07953760027885437,0.09780946373939514,0.2849785387516022,0.1258936534328586,0.5839819668478771,0.05220242589712143
model_101000.onnx,0.5,0.2,1,manipulation,False,crouch_to_place_box,True,1.7170099999994015,0.06482378393411636,0.06437745690345764,0.05862547939294958,0.08972609788179398,0.11922142654657364,0.3325417935848236,0.2215982509876015,0.1381456609797799,0.057237301021814346
model_101000.onnx,0.5,0.2,1,manipulation,False,stand_after_place_box,True,1.6169900000003619,0.0277106836438179,0.022943034768104553,0.05539087542517438,0.05738889425992966,0.07820312678813934,0.23662112653255463,0.22122689943493226,0.1381456609797799,0.038599368184804916
model_101000.onnx,0.7,0.4,2,approach,False,approach_box,True,3.2339800000000634,0.11540047079324722,0.11343326419591904,0.06726490322879013,0.051661327481269836,0.07084009051322937,0.17920878529548645,,,0.1252979338169098
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.06112813204526901,0.05943094938993454,0.043366091736105464,0.05854491889476776,0.07919131219387054,0.236948162317276,0.038673803210258484,0.0,0.05719544366002083
model_101000.onnx,0.7,0.4,2,manipulation,False,crouch_to_pick_box,True,1.7170100000003163,0.1414949744939804,0.1410405933856964,0.04071252717358933,0.08179999142885208,0.11578119546175003,0.33905869722366333,0.04074440896511078,0.0,0.1467958241701126
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_after_pick_box,True,2.317129999999219,0.11641112715005875,0.11503050476312637,0.05525970391216201,0.09225143492221832,0.1149986982345581,0.32255005836486816,0.02079853536623476,0.7204547732798553,0.1324382871389389
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_before_place_box,True,3.8174299999986694,0.0400112122297287,0.038299668580293655,0.04147118311192619,0.07718238979578018,0.09834707528352737,0.297571063041687,0.11261764684145308,0.6217751061496741,0.05303248018026352
model_101000.onnx,0.7,0.4,2,manipulation,False,crouch_to_place_box,True,1.7336799999993957,0.0742894858121872,0.07362397760152817,0.05594496459822469,0.08847921341657639,0.12065368890762329,0.36158156394958496,0.2344277894591059,0.16411363651295818,0.06964433193206787
model_101000.onnx,0.7,0.4,2,manipulation,False,stand_after_place_box,True,1.6836700000010136,0.02724633552134037,0.0221165269613266,0.05566967580031523,0.05568299442529678,0.0775451734662056,0.23919302225112915,0.23407679223603625,0.16411363651295818,0.03788771480321884
model_101000.onnx,0.8999999999999999,0.6,3,approach,False,approach_box,True,2.8172299999999866,0.1594066321849823,0.15813051164150238,0.055503231536851036,0.055095087736845016,0.07479981333017349,0.21794447302818298,,,0.17792104184627533
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.08157164603471756,0.08033884316682816,0.045105982534782756,0.057892609387636185,0.07909312099218369,0.24206453561782837,0.038673803210258484,0.0,0.07752534002065659
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_pick_box,True,2.3504700000003442,0.15367157757282257,0.1533752828836441,0.04470888409167877,0.08236344158649445,0.11571832746267319,0.3385004699230194,0.04074440896511078,0.0,0.15959440171718597
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_pick_box,True,2.283789999999204,0.12957869470119476,0.12826040387153625,0.06305421730602738,0.09206324815750122,0.1151822879910469,0.3195524513721466,0.025018180501668142,0.7099230566113086,0.14710663259029388
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_before_place_box,True,3.6507299999987275,0.07567020505666733,0.07410784065723419,0.043575196639248644,0.08119888603687286,0.10518080741167068,0.3178863823413849,0.09433974106612561,0.612860994280608,0.08524060994386673
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,crouch_to_place_box,True,1.8003599999993725,0.10237178951501846,0.10156548023223877,0.05718669960685306,0.0887388214468956,0.12041675299406052,0.3623724579811096,0.2232801511291346,0.17760889192853732,0.10043841600418091
model_101000.onnx,0.8999999999999999,0.6,3,manipulation,False,stand_after_place_box,True,1.5836500000010307,0.026560939848423004,0.02144111692905426,0.05282562538992905,0.05531444773077965,0.07653187960386276,0.24267035722732544,0.2229116014950294,0.17760889192853732,0.038376569747924805
model_101000.onnx,1.1,0.8,4,approach,False,approach_box,True,3.2506500000000664,0.10247455537319183,0.10144171863794327,0.05809503240868727,0.05379689857363701,0.07456671446561813,0.22938674688339233,,,0.11731602251529694
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.022513095289468765,0.01736045815050602,0.05073458987154272,0.06071999669075012,0.07898226380348206,0.23616063594818115,0.038673803210258484,0.0,0.02710784040391445
model_101000.onnx,1.1,0.8,4,manipulation,False,crouch_to_pick_box,True,1.8170300000002992,0.09745489805936813,0.0974452793598175,0.047939583300825296,0.0821448341012001,0.11633801460266113,0.3584240674972534,0.04074502316149146,6.004155484446685e-05,0.09776027500629425
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_after_pick_box,True,2.2671199999992098,0.08409218490123749,0.08249226957559586,0.04905736013146857,0.09329523891210556,0.1146417036652565,0.3036350607872009,0.029938076159569636,0.719825108820936,0.09822285920381546
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_before_place_box,True,3.684069999998716,0.04378686100244522,0.041134729981422424,0.04430152713764766,0.08581036329269409,0.10691595077514648,0.3130989670753479,0.09219224768290749,0.641076334221586,0.05601099133491516
model_101000.onnx,1.1,0.8,4,manipulation,False,crouch_to_place_box,True,1.7336799999993957,0.0674203485250473,0.06691223382949829,0.051738320369447324,0.0886584222316742,0.12521213293075562,0.3945557475090027,0.22702509977040614,0.062328471534298095,0.06700350344181061
model_101000.onnx,1.1,0.8,4,manipulation,False,stand_after_place_box,True,1.5836500000008709,0.0247989222407341,0.019410375505685806,0.046225859699621605,0.056511398404836655,0.07749776542186737,0.24481049180030823,0.22666263944151108,0.062328471534298095,0.037410277873277664
model_101000.onnx,1.2999999999999998,1.0,5,approach,False,approach_box,True,3.367340000000088,0.13525937497615814,0.13435043394565582,0.07346870986921233,0.056234922260046005,0.0740240216255188,0.18668615818023682,,,0.14299210906028748
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_before_pick_box,True,1.0002000000001843,0.058732494711875916,0.05686935409903526,0.06712960679187856,0.06019462272524834,0.08075776696205139,0.2351934164762497,0.038673803210258484,0.0,0.05577317252755165
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,crouch_to_pick_box,True,1.817030000000237,0.131404310464859,0.1312256157398224,0.04330549945884733,0.08028563857078552,0.11298999190330505,0.33781394362449646,0.04074467602405113,6.071863902701307e-05,0.13448503613471985
model_101000.onnx,1.2999999999999998,1.0,5,manipulation,False,stand_after_pick_box,True,2.300459999999198,0.11272243410348892,0.11129184067249298,0.05870665123607832,0.09310442954301834,0.11562228947877884,0.32333967089653015,0.007067215906525789,0.7350481539053508,0.12565955519676208
