policy,stage,metric,n,mean,std
model_29000_uniform.onnx,approach,root_position_m,9,0.1252619350949923,0.0433260383529801
model_29000_uniform.onnx,approach,root_xy_m,9,0.12389886710378858,0.04373402102222123
model_29000_uniform.onnx,approach,root_orientation_rad,9,0.04655363241776567,0.01515660484476729
model_29000_uniform.onnx,approach,joint_mae_rad,9,0.08102876858578788,0.0041229862926970475
model_29000_uniform.onnx,approach,joint_rmse_rad,9,0.09891744454701741,0.006067843750464614
model_29000_uniform.onnx,approach,joint_max_rad,9,0.22179977595806122,0.03739717565953257
model_29000_uniform.onnx,approach,object_position_m,0,,
model_29000_uniform.onnx,approach,object_orientation_rad,0,,
model_29000_uniform.onnx,approach,mean_body_position_m,9,0.13377545442846087,0.046157475926190614
model_101000.onnx,approach,root_position_m,10,0.1139729905873537,0.04826476443835437
model_101000.onnx,approach,root_xy_m,10,0.11124964859336614,0.05151871156304754
model_101000.onnx,approach,root_orientation_rad,10,0.06468790844180287,0.008976500952686537
model_101000.onnx,approach,joint_mae_rad,10,0.05858259536325931,0.0052996723747612585
model_101000.onnx,approach,joint_rmse_rad,10,0.07638723775744438,0.004981301651178638
model_101000.onnx,approach,joint_max_rad,10,0.213422991335392,0.035858740708063566
model_101000.onnx,approach,object_position_m,0,,
model_101000.onnx,approach,object_orientation_rad,0,,
model_101000.onnx,approach,mean_body_position_m,10,0.1251405831426382,0.04788683651099815
model_29000_uniform.onnx,pick,root_position_m,9,0.14620774736007056,0.04540225196000233
model_29000_uniform.onnx,pick,root_xy_m,9,0.14576306194067,0.04565789226017557
model_29000_uniform.onnx,pick,root_orientation_rad,9,0.0652923709719866,0.03733804988490197
model_29000_uniform.onnx,pick,joint_mae_rad,9,0.10905868973996904,0.017700050226215958
model_29000_uniform.onnx,pick,joint_rmse_rad,9,0.14152933739953572,0.01807833795630319
model_29000_uniform.onnx,pick,joint_max_rad,9,0.34892895486619735,0.04374139679558855
model_29000_uniform.onnx,pick,object_position_m,9,0.17697569701820826,0.0788109918622641
model_29000_uniform.onnx,pick,object_orientation_rad,9,1.1120089868955587,0.6471587364741281
model_29000_uniform.onnx,pick,mean_body_position_m,9,0.15185546378294626,0.04349220397569045
model_101000.onnx,pick,root_position_m,10,0.12750282511115074,0.02225741449708156
model_101000.onnx,pick,root_xy_m,10,0.12727574557065963,0.022185916660421596
model_101000.onnx,pick,root_orientation_rad,10,0.0442332709014716,0.005533617852582336
model_101000.onnx,pick,joint_mae_rad,10,0.08358826860785484,0.0022723750180465023
model_101000.onnx,pick,joint_rmse_rad,10,0.11446392461657524,0.002029252352721667
model_101000.onnx,pick,joint_max_rad,10,0.32910737991333006,0.02596114429376425
model_101000.onnx,pick,object_position_m,10,0.04074481947282884,5.398158820564941e-7
model_101000.onnx,pick,object_orientation_rad,10,0.00002350611625809161,0.00002683152917532674
model_101000.onnx,pick,mean_body_position_m,10,0.12913214936852455,0.024115865440512585
model_29000_uniform.onnx,place,root_position_m,5,0.1935797244310379,0.03839527816757248
model_29000_uniform.onnx,place,root_xy_m,5,0.19308874607086182,0.03816362039055214
model_29000_uniform.onnx,place,root_orientation_rad,5,0.06153221948585621,0.03153677423438455
model_29000_uniform.onnx,place,joint_mae_rad,5,0.11108135879039764,0.010035903023135798
model_29000_uniform.onnx,place,joint_rmse_rad,5,0.14397740364074707,0.009587833985498128
model_29000_uniform.onnx,place,joint_max_rad,5,0.3582193315029144,0.011733095919677094
model_29000_uniform.onnx,place,object_position_m,5,0.09433097205037756,0.007195502153191102
model_29000_uniform.onnx,place,object_orientation_rad,5,1.0125560290431614,0.765472433096843
model_29000_uniform.onnx,place,mean_body_position_m,5,0.18399401605129242,0.0369810299503088
model_101000.onnx,place,root_position_m,10,0.07254713177680969,0.017884971537220542
model_101000.onnx,place,root_xy_m,10,0.07202226407825947,0.01790792234521707
model_101000.onnx,place,root_orientation_rad,10,0.05928126736528276,0.009285123306508271
model_101000.onnx,place,joint_mae_rad,10,0.08947349563241005,0.0015072908915704367
model_101000.onnx,place,joint_rmse_rad,10,0.1218388594686985,0.002206577554062828
model_101000.onnx,place,joint_max_rad,10,0.3680651903152466,0.0262966385569392
model_101000.onnx,place,object_position_m,10,0.2304346545056352,0.02142923401018204
model_101000.onnx,place,object_orientation_rad,10,0.10935589578250238,0.05589835227048668
model_101000.onnx,place,mean_body_position_m,10,0.07044628784060478,0.017707782505876915
