policy,cohort,stage,metric,n,mean,std
model_101000.onnx,successful_approaches,approach,root_position_m,10,0.09986485447734594,0.03628484933621036
model_101000.onnx,successful_approaches,approach,root_xy_m,10,0.09746341397985817,0.03946584658435053
model_101000.onnx,successful_approaches,approach,root_orientation_rad,10,0.060136106611916616,0.008554282697454157
model_101000.onnx,successful_approaches,approach,joint_mae_rad,10,0.0603409007191658,0.004151629415912757
model_101000.onnx,successful_approaches,approach,joint_rmse_rad,10,0.07771894112229347,0.005027931597512646
model_101000.onnx,successful_approaches,approach,joint_max_rad,10,0.2126299500465393,0.03736907428266666
model_101000.onnx,successful_approaches,approach,object_position_m,0,,
model_101000.onnx,successful_approaches,approach,object_orientation_rad,0,,
model_101000.onnx,successful_approaches,approach,mean_body_position_m,10,0.11054921969771385,0.034033667881991005
model_101000.onnx,successful_pick_place,pick,root_position_m,10,0.11194431036710739,0.017151424177317416
model_101000.onnx,successful_pick_place,pick,root_xy_m,10,0.11184459626674652,0.017105782483265677
model_101000.onnx,successful_pick_place,pick,root_orientation_rad,10,0.04832280034589592,0.015201753983060123
model_101000.onnx,successful_pick_place,pick,joint_mae_rad,10,0.08381518125534057,0.0015480317037840283
model_101000.onnx,successful_pick_place,pick,joint_rmse_rad,10,0.11608848124742507,0.00284001232435762
model_101000.onnx,successful_pick_place,pick,joint_max_rad,10,0.34832548201084135,0.01726005124029066
model_101000.onnx,successful_pick_place,pick,object_position_m,10,0.04074499345912766,6.582692500118292e-7
model_101000.onnx,successful_pick_place,pick,object_orientation_rad,10,0.000025594652226978487,0.00003062660653482964
model_101000.onnx,successful_pick_place,pick,mean_body_position_m,10,0.1122904896736145,0.017820690434586055
model_101000.onnx,successful_pick_place,place,root_position_m,10,0.08462954089045524,0.044144842008872295
model_101000.onnx,successful_pick_place,place,root_xy_m,10,0.08408748023211957,0.04431740918249186
model_101000.onnx,successful_pick_place,place,root_orientation_rad,10,0.05418585882523663,0.0024519361074617505
model_101000.onnx,successful_pick_place,place,joint_mae_rad,10,0.08863980695605278,0.0024666741621875844
model_101000.onnx,successful_pick_place,place,joint_rmse_rad,10,0.12224568799138069,0.0039069163348357
model_101000.onnx,successful_pick_place,place,joint_max_rad,10,0.3757248014211655,0.01915341831815347
model_101000.onnx,successful_pick_place,place,object_position_m,10,0.22012743783567018,0.02026464313225525
model_101000.onnx,successful_pick_place,place,object_orientation_rad,10,0.08812699683948366,0.04565534556563497
model_101000.onnx,successful_pick_place,place,mean_body_position_m,10,0.08262464366853237,0.04358329995379565
model_29000_uniform.onnx,successful_approaches,approach,root_position_m,10,0.057706881873309614,0.037712981332101166
model_29000_uniform.onnx,successful_approaches,approach,root_xy_m,10,0.051160572282969954,0.041206014181036255
model_29000_uniform.onnx,successful_approaches,approach,root_orientation_rad,10,0.05965777904910803,0.02177072912430321
model_29000_uniform.onnx,successful_approaches,approach,joint_mae_rad,10,0.08664643689990044,0.005193293921380362
model_29000_uniform.onnx,successful_approaches,approach,joint_rmse_rad,10,0.10993614941835403,0.00742577401514078
model_29000_uniform.onnx,successful_approaches,approach,joint_max_rad,10,0.2888606697320938,0.028707290295308937
model_29000_uniform.onnx,successful_approaches,approach,object_position_m,0,,
model_29000_uniform.onnx,successful_approaches,approach,object_orientation_rad,0,,
model_29000_uniform.onnx,successful_approaches,approach,mean_body_position_m,10,0.07717944160103798,0.0338216940305968
model_29000_uniform.onnx,successful_pick_place,pick,root_position_m,0,,
model_29000_uniform.onnx,successful_pick_place,pick,root_xy_m,0,,
model_29000_uniform.onnx,successful_pick_place,pick,root_orientation_rad,0,,
model_29000_uniform.onnx,successful_pick_place,pick,joint_mae_rad,0,,
model_29000_uniform.onnx,successful_pick_place,pick,joint_rmse_rad,0,,
model_29000_uniform.onnx,successful_pick_place,pick,joint_max_rad,0,,
model_29000_uniform.onnx,successful_pick_place,pick,object_position_m,0,,
model_29000_uniform.onnx,successful_pick_place,pick,object_orientation_rad,0,,
model_29000_uniform.onnx,successful_pick_place,pick,mean_body_position_m,0,,
model_29000_uniform.onnx,successful_pick_place,place,root_position_m,0,,
model_29000_uniform.onnx,successful_pick_place,place,root_xy_m,0,,
model_29000_uniform.onnx,successful_pick_place,place,root_orientation_rad,0,,
model_29000_uniform.onnx,successful_pick_place,place,joint_mae_rad,0,,
model_29000_uniform.onnx,successful_pick_place,place,joint_rmse_rad,0,,
model_29000_uniform.onnx,successful_pick_place,place,joint_max_rad,0,,
model_29000_uniform.onnx,successful_pick_place,place,object_position_m,0,,
model_29000_uniform.onnx,successful_pick_place,place,object_orientation_rad,0,,
model_29000_uniform.onnx,successful_pick_place,place,mean_body_position_m,0,,
