policy,stage,metric,n,mean,std
model_101000.onnx,approach,root_position_m,10,0.09986485447734594,0.03628484933621036
model_101000.onnx,approach,root_xy_m,10,0.09746341397985817,0.03946584658435053
model_101000.onnx,approach,root_orientation_rad,10,0.060136106611916616,0.008554282697454157
model_101000.onnx,approach,joint_mae_rad,10,0.0603409007191658,0.004151629415912757
model_101000.onnx,approach,joint_rmse_rad,10,0.07771894112229347,0.005027931597512646
model_101000.onnx,approach,joint_max_rad,10,0.2126299500465393,0.03736907428266666
model_101000.onnx,approach,object_position_m,0,,
model_101000.onnx,approach,object_orientation_rad,0,,
model_101000.onnx,approach,mean_body_position_m,10,0.11054921969771385,0.034033667881991005
model_101000.onnx,pick,root_position_m,10,0.11194431036710739,0.017151424177317416
model_101000.onnx,pick,root_xy_m,10,0.11184459626674652,0.017105782483265677
model_101000.onnx,pick,root_orientation_rad,10,0.04832280034589592,0.015201753983060123
model_101000.onnx,pick,joint_mae_rad,10,0.08381518125534057,0.0015480317037840283
model_101000.onnx,pick,joint_rmse_rad,10,0.11608848124742507,0.00284001232435762
model_101000.onnx,pick,joint_max_rad,10,0.34832548201084135,0.01726005124029066
model_101000.onnx,pick,object_position_m,10,0.04074499345912766,6.582692500118292e-7
model_101000.onnx,pick,object_orientation_rad,10,0.000025594652226978487,0.00003062660653482964
model_101000.onnx,pick,mean_body_position_m,10,0.1122904896736145,0.017820690434586055
model_101000.onnx,place,root_position_m,10,0.0689976990222931,0.010720987122872347
model_101000.onnx,place,root_xy_m,10,0.0681567419320345,0.010647092631147234
model_101000.onnx,place,root_orientation_rad,10,0.051426694602271464,0.0020033600005982745
model_101000.onnx,place,joint_mae_rad,10,0.08730198964476585,0.0008831227062360967
model_101000.onnx,place,joint_rmse_rad,10,0.11869756579399109,0.002320287507868354
model_101000.onnx,place,joint_max_rad,10,0.3582555890083313,0.01343708138671742
model_101000.onnx,place,object_position_m,10,0.20726740038617222,0.01519498452495263
model_101000.onnx,place,object_orientation_rad,10,0.11694349953847638,0.033953159253048974
model_101000.onnx,place,mean_body_position_m,10,0.06956309005618096,0.010136959886030592
model_29000_uniform.onnx,approach,root_position_m,3,0.09844398001829784,0.050970474956396394
model_29000_uniform.onnx,approach,root_xy_m,3,0.09556244686245918,0.054423170665602184
model_29000_uniform.onnx,approach,root_orientation_rad,3,0.05821657995336407,0.026716456277269113
model_29000_uniform.onnx,approach,joint_mae_rad,3,0.08132113516330719,0.0027755003926026828
model_29000_uniform.onnx,approach,joint_rmse_rad,3,0.10244884838660558,0.0034260196961120332
model_29000_uniform.onnx,approach,joint_max_rad,3,0.2654117743174235,0.02642678547609645
model_29000_uniform.onnx,approach,object_position_m,0,,
model_29000_uniform.onnx,approach,object_orientation_rad,0,,
model_29000_uniform.onnx,approach,mean_body_position_m,3,0.11391384154558182,0.046804250978384754
model_29000_uniform.onnx,pick,root_position_m,3,0.10573215534289677,0.023715332298053136
model_29000_uniform.onnx,pick,root_xy_m,3,0.10543554772933324,0.023539230344724837
model_29000_uniform.onnx,pick,root_orientation_rad,3,0.045966559947152597,0.0051844261035302215
model_29000_uniform.onnx,pick,joint_mae_rad,3,0.09980026632547379,0.0038030249078032084
model_29000_uniform.onnx,pick,joint_rmse_rad,3,0.13597949345906576,0.0035857669666006947
model_29000_uniform.onnx,pick,joint_max_rad,3,0.3521002729733785,0.0003005454861749887
model_29000_uniform.onnx,pick,object_position_m,3,0.041310131132298755,0.0007942499627721756
model_29000_uniform.onnx,pick,object_orientation_rad,3,0.0011400750774259586,0.0008466411331059639
model_29000_uniform.onnx,pick,mean_body_position_m,3,0.10203152149915695,0.022394596154154452
model_29000_uniform.onnx,place,root_position_m,3,0.1855065325895945,0.010066552321046442
model_29000_uniform.onnx,place,root_xy_m,3,0.18496058384577432,0.010143572227987424
model_29000_uniform.onnx,place,root_orientation_rad,3,0.055180084679765734,0.008308760234270397
model_29000_uniform.onnx,place,joint_mae_rad,3,0.1013222907980283,0.0012462992807414283
model_29000_uniform.onnx,place,joint_rmse_rad,3,0.13573231796423593,0.0011559013062463724
model_29000_uniform.onnx,place,joint_max_rad,3,0.36331988374392193,0.0029415815891597253
model_29000_uniform.onnx,place,object_position_m,3,0.1008965751646345,0.00565317218334958
model_29000_uniform.onnx,place,object_orientation_rad,3,0.17270506616077577,0.009437814437625652
model_29000_uniform.onnx,place,mean_body_position_m,3,0.17347107330958048,0.010302000539006165
model_28000.onnx,approach,root_position_m,0,,
model_28000.onnx,approach,root_xy_m,0,,
model_28000.onnx,approach,root_orientation_rad,0,,
model_28000.onnx,approach,joint_mae_rad,0,,
model_28000.onnx,approach,joint_rmse_rad,0,,
model_28000.onnx,approach,joint_max_rad,0,,
model_28000.onnx,approach,object_position_m,0,,
model_28000.onnx,approach,object_orientation_rad,0,,
model_28000.onnx,approach,mean_body_position_m,0,,
model_28000.onnx,pick,root_position_m,0,,
model_28000.onnx,pick,root_xy_m,0,,
model_28000.onnx,pick,root_orientation_rad,0,,
model_28000.onnx,pick,joint_mae_rad,0,,
model_28000.onnx,pick,joint_rmse_rad,0,,
model_28000.onnx,pick,joint_max_rad,0,,
model_28000.onnx,pick,object_position_m,0,,
model_28000.onnx,pick,object_orientation_rad,0,,
model_28000.onnx,pick,mean_body_position_m,0,,
model_28000.onnx,place,root_position_m,0,,
model_28000.onnx,place,root_xy_m,0,,
model_28000.onnx,place,root_orientation_rad,0,,
model_28000.onnx,place,joint_mae_rad,0,,
model_28000.onnx,place,joint_rmse_rad,0,,
model_28000.onnx,place,joint_max_rad,0,,
model_28000.onnx,place,object_position_m,0,,
model_28000.onnx,place,object_orientation_rad,0,,
model_28000.onnx,place,mean_body_position_m,0,,
model_40000.onnx,approach,root_position_m,0,,
model_40000.onnx,approach,root_xy_m,0,,
model_40000.onnx,approach,root_orientation_rad,0,,
model_40000.onnx,approach,joint_mae_rad,0,,
model_40000.onnx,approach,joint_rmse_rad,0,,
model_40000.onnx,approach,joint_max_rad,0,,
model_40000.onnx,approach,object_position_m,0,,
model_40000.onnx,approach,object_orientation_rad,0,,
model_40000.onnx,approach,mean_body_position_m,0,,
model_40000.onnx,pick,root_position_m,0,,
